specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
HCC,G02,11,3,2,-0.057,0.436,down,0.45,5.891,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_LM_vs_HCC,G04,5,1,1,1.072,1.072,up,1.0,5.862,gaira_base_4_cross_pilot_synthesis_v1
P2_CCA_vs_HCC,G07,5,1,1,1.059,1.059,up,1.0,5.793,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G09,3,1,1,1.129,1.795,up,0.67,5.686,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G03,3,1,1,1.794,1.794,up,1.0,5.683,gaira_base_4_cross_pilot_synthesis_v1
COVID_vs_Healthy,G10,7,2,1,0.016,0.699,up,0.71,5.591,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_CCA_vs_HCC,G11,5,1,1,-0.089,1.018,down,0.6,5.589,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G05,3,1,1,1.094,1.761,up,0.67,5.583,gaira_base_4_cross_pilot_synthesis_v1
Tube_QC_caution,G01,10,1,1,-0.457,0.457,down,0.7,5.573,gaira_base_4_passive_target_pilot_3b_covid_raman
P2_LM_vs_HCC,G05,5,1,1,-0.29,1.002,down,0.6,5.508,gaira_base_4_cross_pilot_synthesis_v1
P2_LM_vs_HCC,G08,5,1,1,-0.201,0.985,down,0.6,5.426,gaira_base_4_cross_pilot_synthesis_v1
hepatotoxicity_D2_C40_vs_C0,G01,4,1,1,-0.196,1.255,up,0.5,5.419,gaira_base_4_shine_ev_gaira_pilot_v1
P2_CCA_vs_HCC,G09,5,1,1,-0.519,0.971,down,0.6,5.355,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G04,3,1,1,1.676,1.676,up,1.0,5.327,gaira_base_4_cross_pilot_synthesis_v1
P2_CCA_vs_HCC,G01,5,1,1,0.942,0.942,up,1.0,5.209,gaira_base_4_cross_pilot_synthesis_v1
