id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
107,collagen,Proteins,0.2718092773358011,0.3509412117316654,0.09496115961104239,0.0930117359481286,0.10094365164598212,0.14992978488997524,0.07271913558714832,0.17823819716586045,protein_backbone,0.3509412117316654
108,α-chymotrypsinogen a (type ii),Proteins,0.22360629619222683,0.3654941657326295,0.21955480742750727,0.1727632896552491,0.11715512196689543,0.1798940492414993,0.035217584541088795,0.197496906429447,protein_backbone,0.3654941657326295
109,α-chymotrypsinogen a (type ii),Proteins,0.1929999983043384,0.3457551498654197,0.21634884792466394,0.17441747591397117,0.13945067757614996,0.16024676412911665,0.06680154350555134,0.1959646076153422,protein_backbone,0.3457551498654197
110,α-chymotrypsinogen a (type ii),Proteins,0.21049677598578473,0.307679403850827,0.1650880179477668,0.16276133818100236,0.11966437305549084,0.12565071834178604,0.06604503890734892,0.11381533653146764,protein_backbone,0.307679403850827
111,elastase,Proteins,0.30224965386496677,0.37155010049777537,0.259942492844573,0.23237660389333595,0.1087525986239374,0.166569128235392,0.04740835995237537,0.5255190191834297,nucleic_acid_backbone,0.5255190191834297
112,elastase,Proteins,0.32174376533976184,0.43712935768488004,0.2696010602464803,0.267196802345811,0.14338840401179115,0.18820286871864722,0.07664569231686633,0.3316190034523776,protein_backbone,0.43712935768488004
113,elastase,Proteins,0.2535276005924833,0.3032899942864422,0.18945510493184917,0.1809174718475197,0.07712660445168071,0.15713350292803496,0.0822869169802121,0.25459420987341214,protein_backbone,0.3032899942864422
114,ferritin,Proteins,0.19916604756170797,0.23546788979277822,0.2078034105583584,0.1692366041380804,0.12111065499698685,0.14350092572906825,0.103348346203293,0.10018343980181008,protein_backbone,0.23546788979277822
115,ferritin,Proteins,0.3543280083845365,0.2376883586998818,0.3164163773899532,0.8004032476568499,0.23635125160145487,0.16304756099765305,0.19521275565512508,0.18502459265989926,purine_nucleotide,0.8004032476568499
116,ferritin,Proteins,0.2438578880243945,0.2395248156094754,0.15486200459146748,0.18738654037763972,0.08993400986408395,0.13494150876299182,0.13780006128924646,0.13212288519551596,membrane_lipid,0.2438578880243945
117,glutathione transferase,Proteins,0.20092999958115704,0.3659502650491151,0.15868101337074572,0.18327221331049656,0.12410062622249961,0.17197734568263115,0.11262440135689708,0.14811256213640422,protein_backbone,0.3659502650491151
118,glutathione transferase,Proteins,0.19077788282107594,0.38927032658640426,0.2087380765073268,0.17351899329121112,0.13645264637468146,0.20184636858192445,0.08127655700773515,0.15516470095435944,protein_backbone,0.38927032658640426
